Blue,Green,Red,RE1,RE2,RE3,NIR,NIR2,SWIR1,SWIR2,NDVI,BSI,SAVI,MSAVI2,EVI2,NDRE,NDWI,BI,SI1,SI2,NDSI,ClayIndex,AlOH,IronIndex,FerrousIndex,SWIR_ratio,RedEdge_ratio,CarbonateIndex,RI,CI_green,elevation,slope,aspect,hillshade,curvature,plan_curvature,profile_curvature,TWI,label_pH,label_EC,label_OC,label_N,label_P,label_K,label_Fe,label_Cu,label_B,label_Zn,lat,lon
0.10363689,0.12432087,0.14138253,0.16230729,0.19981262,0.2180641,0.21360779,0.22806798,0.23879127,0.19198106,0.20193788,0.09334453,0.123260796,0.10670455,0.11315404,0.07416985,-0.26082617,0.16508654,0.13250437,0.059635784,0.10930951,1.2525798,1.2525798,1.1244103,1.3712195,0.8950468,115.03197,1.2525798,1.1694795,0.71802753,18.13678,1.8123783,167.20691,181.23524,-0.052039377,4.166391,0.7201907,0.37873986,7.0,0.4,0.5394625,140.0,19.6845,55.0,2.25,0.8,0.31575,0.57372,16.484384899999995,80.7761031
0.11633577,0.13560244,0.15155588,0.16827942,0.21153626,0.23374511,0.23215882,0.25014365,0.2582956,0.20810932,0.21248853,0.08472101,0.13635004,0.119385585,0.12586784,0.05483271,-0.2664432,0.17861433,0.14334401,0.05762995,0.10791371,1.243517,1.243517,1.117281,1.3191199,0.89777285,92.297066,1.243517,1.1249477,0.73458743,18.782686,1.418211,132.67284,180.0,0.08377142,4.4890842,0.564513,2.040737,7.0,0.4,0.5903840384038403,140.0,16.92295,55.0,2.25,0.7892199999999999,0.25,0.6322800000000001,16.4956512,80.7590783
0.10929803,0.12729353,0.14814495,0.16544859,0.18349776,0.20179437,0.20113343,0.22136237,0.25338033,0.21260478,0.16436473,0.1344631,0.09923497,0.085112326,0.09051915,0.059997343,-0.239826,0.162935,0.13732019,0.114648335,0.08917384,1.1976615,1.1976615,1.0911163,1.4107021,0.80742055,149.28598,1.1976615,1.144682,0.6522434,8.654674,1.9443192,146.20894,179.48996,0.5996473,4.228968,0.80862236,0.1325023,7.0,0.43614,0.62155,140.0,12.324950000000001,55.0,6.538049999999999,0.79349,0.632,0.71664,16.008629,81.0333323
0.24850078,0.24967109,0.24425977,0.27111644,0.33313793,0.3666207,0.3657137,0.37663826,0.312068,0.25942266,0.20085332,-0.009547202,0.15845029,0.14841855,0.15027887,0.04988415,-0.21689175,0.29258823,0.24655087,-0.048576575,0.09566853,1.2128619,1.2128619,1.0680023,1.1636379,1.1306286,78.54396,1.2128619,1.113087,0.5800201,10.068565,2.1384943,116.20656,176.62975,-1.1399437,4.5633597,0.8371621,2.6163151,7.0,0.4,0.6128875000000001,140.0,15.258099999999999,55.0,2.25,0.8,0.5927500000000001,0.6290399999999999,15.989717100000002,81.0005826
0.21257044,0.21895087,0.21974391,0.24934566,0.30534697,0.32928476,0.32534432,0.34094784,0.30519217,0.23857781,0.20209982,0.0059423572,0.14702675,0.13539532,0.13834824,0.06407485,-0.21678229,0.26007223,0.21895407,-0.023550527,0.13661282,1.3211983,1.3211983,1.1580515,1.1558684,1.0581756,140.94662,1.3211983,1.1423931,0.575377,8.32384,1.1811348,121.62165,179.47784,-0.30801687,4.6713285,0.46897957,1.5150374,7.0,0.4,0.5972125,140.0,14.05635,55.0,2.25,0.8,0.29625,0.3,16.0217129,80.9581447
0.10563874,0.12750249,0.1486825,0.15393874,0.19804251,0.2190175,0.22539124,0.24077873,0.244,0.19180875,0.20786662,0.08704951,0.13209298,0.11520004,0.1217039,0.018757628,-0.2777132,0.17308097,0.13773724,0.039331384,0.11736647,1.2681977,1.2681977,1.1331704,1.4262795,0.93251485,121.45964,1.2681977,1.0478572,0.78389657,7.6257496,1.3797462,145.91972,180.44127,0.6031746,4.4851294,0.54877526,1.1273729,7.0,0.4,0.5215749999999999,140.0,15.362599999999997,55.0,2.4177,0.7517,0.8965000000000001,0.73452,15.973910600000002,80.9978145
0.11887125,0.13056,0.135225,0.1518825,0.19956501,0.22379251,0.21889624,0.23827748,0.22119002,0.17768124,0.23610087,0.028899562,0.1457831,0.1267561,0.1344413,0.059082024,-0.25323728,0.16684482,0.13251936,0.007068378,0.10836382,1.2435942,1.2435942,1.1076939,1.1827682,0.9891957,87.37775,1.2435942,1.1289183,0.6902522,6.045502,1.5734876,152.77353,178.13333,-1.0490301,4.8315053,0.5661767,1.3000004,7.0,0.4,0.5486201379862015,140.0,18.84245,55.0,2.25,0.8,0.25,0.6111599999999999,15.927298799999999,81.0332572
0.07439406,0.098488145,0.12210085,0.1358305,0.17123814,0.1932212,0.18637289,0.21140254,0.21977119,0.17251949,0.19635607,0.1651258,0.1156809,0.09957435,0.106100716,0.080178715,-0.27804926,0.14132652,0.109427325,0.10951239,0.13856216,1.3378415,1.3378415,1.2002982,1.8371532,0.8435344,542.691,1.3378415,1.2541113,0.84207916,9.875357,1.9867264,137.517,179.33653,0.026709434,4.4140067,0.8207898,2.7088404,7.0,0.43561999999999995,0.5479375000000001,140.0,11.2255,55.0,2.25,0.8,0.678125,0.3,16.063738,81.033858
0.13591428,0.1545,0.17348573,0.17265,0.23600002,0.26687858,0.26585,0.2769,0.28395715,0.23600712,0.2178803,0.067237906,0.14947487,0.13294618,0.1389103,0.006394384,-0.26192147,0.20407355,0.1632357,0.03614558,0.097055756,1.2172667,1.2172667,1.0922534,1.3136019,0.938146,69.85083,1.2172667,1.0208527,0.7188638,9.6802435,1.7010494,142.51369,179.6045,-0.768846,4.3919024,0.6775436,2.2581291,7.0,0.44550000000000006,0.546025,140.0,11.964246424642463,55.0,2.25,0.8,1.0394999999999999,0.3,16.02684049999999,81.060133
0.42529863,0.41799325,0.3980554,0.43927738,0.51461214,0.5496517,0.5420919,0.5593905,0.42997295,0.3295341,0.1680544,-0.055815518,0.15319948,0.15020323,0.14718768,0.049313556,-0.15929328,0.45817,0.4076165,-0.09911299,0.13533257,1.315353,1.315353,1.1300217,1.034333,1.2371377,34.480408,1.315353,1.106732,0.41054842,8.5,1.3423637,146.6493,180.70993,0.15646976,4.8246346,0.5465307,0.8160084,7.0,0.4,0.5338,140.0,14.86485,55.0,2.25,0.8,0.644125,0.3,16.0432589,80.9980023
0.097519815,0.11551132,0.12251886,0.14191887,0.18396415,0.20559244,0.19204056,0.2157302,0.1836566,0.13934056,0.21841647,0.014619802,0.12511216,0.10689534,0.114464834,0.08073039,-0.23791954,0.14790659,0.11862557,-0.045541354,0.16195168,1.4033966,1.4033966,1.1996108,1.2734761,1.1432487,112.77871,1.4033966,1.1856782,0.6579773,7.494498,1.9464415,162.69626,179.84879,-0.1647143,4.2042356,0.7922534,1.2042676,7.0,1.7,0.625,140.0,16.5,55.0,12.0,0.8,0.875,0.3,16.381444399999996,81.4290172
0.10072419,0.12337097,0.13355806,0.15169999,0.18979515,0.2085258,0.20662902,0.22369839,0.23269518,0.18577257,0.22136022,0.07977916,0.13286874,0.114816345,0.122154035,0.074897155,-0.2529221,0.1591663,0.12809816,0.05168358,0.1268244,1.2971584,1.2971584,1.1522018,1.3054895,0.91582626,103.02724,1.2971584,1.181767,0.69499266,8.0734825,1.9263196,116.59766,180.63792,-0.75079864,4.649441,0.80459905,1.6731917,7.0,0.99436,0.47498499849985,140.0,16.343799999999998,55.0,5.035575000000001,0.76003,0.5357500000000001,0.50568,16.377090299999995,81.3097125
0.10814691,0.12678711,0.14357215,0.15698865,0.19714382,0.21778557,0.22283196,0.24129586,0.2691196,0.22710359,0.21895969,0.11157558,0.13834429,0.12058451,0.12755208,0.047201067,-0.27527493,0.16986947,0.13487774,0.09514714,0.087325275,1.1928115,1.1928115,1.0833776,1.340669,0.8310687,100.630516,1.1928115,1.1051148,0.7651243,10.262434,1.9295639,140.81326,179.06984,-1.217284,4.618143,0.7592005,2.7253253,7.0,0.725,0.8125,140.0,17.7375,55.0,5.90625,0.7825,0.25,0.3,16.351357299999997,81.28426370000001
0.12440526,0.14307106,0.15901579,0.16447368,0.2128921,0.23975526,0.23819475,0.25246316,0.21791054,0.17720526,0.2001521,0.020324096,0.13223058,0.11632204,0.122113064,0.02190753,-0.24765034,0.18567216,0.15077816,-0.04311393,0.098932885,1.2214937,1.2214937,1.0743356,1.2681966,1.1004705,71.77158,1.2214937,1.0611622,0.6635629,13.206145,2.3125796,114.3131,178.05573,-0.5309039,4.0430574,0.9475606,0.6730211,7.0,0.4,0.9134875,147.168,17.06485,55.0,7.500375,0.76409,0.25,0.33072,16.367539,81.4907777
0.10390834,0.12404583,0.1290677,0.14163958,0.18440938,0.20708644,0.19911666,0.22004062,0.18489479,0.13511458,0.21182661,0.0059330463,0.1216641,0.105323106,0.111848354,0.0767402,-0.20633309,0.15497886,0.12643151,-0.047350407,0.19465369,1.5154079,1.5154079,1.2773896,1.2170178,1.1373085,98.24021,1.5154079,1.2143539,0.5535991,7.681388,2.513844,216.41295,182.00316,-1.1475639,4.0457835,0.9566539,1.9159003,7.0,0.4,0.590909090909091,140.0,18.4998,55.0,10.22745,0.8,0.590875,0.3,16.3817538,81.3228091
0.08401776,0.10148271,0.116842516,0.14129299,0.15925981,0.17676635,0.17634438,0.19149952,0.21063738,0.14882523,0.1848336,0.07291415,0.1061385,0.09106824,0.09719564,0.10714303,-0.22651352,0.13620493,0.108633146,0.02132579,0.19154128,1.4887099,1.4887099,1.2837156,1.3800035,1.0296764,176.17271,1.4887099,1.2510167,0.676293,8.343272,2.966538,203.06961,184.18958,-0.49094778,4.1044097,1.192561,1.393984,7.0,0.4,0.7321374999999999,260.00800000000004,16.5,55.0,12.0,0.8,0.428625,0.3,16.3975,81.3819
0.12107198,0.1400095,0.15291812,0.16540733,0.21082543,0.23391506,0.2309612,0.25207198,0.24125819,0.19633707,0.20684706,0.06291162,0.13244636,0.11595391,0.12214662,0.0424288,-0.25161988,0.1793962,0.14620675,0.026060667,0.10558681,1.2379743,1.2379743,1.1049263,1.2894298,0.9592869,84.49766,1.2379743,1.0964595,0.6816626,9.909318,1.7358084,184.62631,182.27742,0.23046595,4.327973,0.7919953,2.0989542,7.0,0.4,0.4375,140.0,16.5,55.0,2.25,0.8,0.25,0.3,16.3774068,81.3670313
